date,sales
2024-01-01,14295.0
2024-01-02,12389.0
2024-01-03,11956.0
2024-01-04,10537.0
2024-01-05,11368.0
2024-01-06,11287.0
2024-01-07,10774.0
2024-01-08,11589.0
2024-01-09,13748.0
2024-01-10,12263.0
2024-01-11,12377.0
2024-01-12,11625.0
2024-01-13,12665.0
2024-01-14,11402.0
2024-01-15,11850.0
2024-01-16,10824.0
2024-01-17,12356.0
2024-01-18,11893.0
2024-01-19,14148.0
2024-01-20,13476.0
2024-01-21,10604.0
2024-01-22,11417.0
2024-01-23,12291.0
2024-01-24,11772.0
2024-01-25,12838.0
2024-01-26,12313.0
2024-01-27,12175.0
2024-01-28,12901.0
2024-01-29,11634.0
2024-01-30,13755.0
2024-01-31,12021.0
2024-02-01,14987.0
2024-02-02,14474.0
2024-02-03,11957.0
2024-02-04,11156.0
2024-02-05,11692.0
2024-02-06,13808.0
2024-02-07,12897.0
2024-02-08,13911.0
2024-02-09,15261.0
2024-02-10,11463.0
2024-02-11,11032.0
2024-02-12,13240.0
2024-02-13,14257.0
2024-02-14,12098.0
2024-02-15,13139.0
2024-02-16,14562.0
2024-02-17,10742.0
2024-02-18,12608.0
2024-02-19,12615.0
2024-02-20,13336.0
2024-02-21,13975.0
2024-02-22,13477.0
2024-02-23,12191.0
2024-02-24,11984.0
2024-02-25,13928.0
2024-02-26,13668.0
2024-02-27,14232.0
2024-02-28,13621.0
2024-02-29,14236.0
2024-03-01,12963.0
2024-03-02,11826.0
2024-03-03,13386.0
2024-03-04,14648.0
2024-03-05,12468.0
2024-03-06,12847.0
2024-03-07,13307.0
2024-03-08,15247.0
2024-03-09,13274.0
2024-03-10,11368.0
2024-03-11,13439.0
2024-03-12,13287.0
2024-03-13,12293.0
2024-03-14,13465.0
2024-03-15,13276.0
2024-03-16,12418.0
2024-03-17,12381.0
2024-03-18,15231.0
2024-03-19,13241.0
2024-03-20,13703.0
2024-03-21,13595.0
2024-03-22,13117.0
2024-03-23,12940.0
2024-03-24,12934.0
2024-03-25,13784.0
2024-03-26,12763.0
2024-03-27,13487.0
2024-03-28,14556.0
2024-03-29,13531.0
2024-03-30,13078.0
2024-03-31,13090.0
2024-04-01,14208.0
2024-04-02,14369.0
2024-04-03,13568.0
2024-04-04,12762.0
2024-04-05,12427.0
2024-04-06,14002.0
2024-04-07,13750.0
2024-04-08,14498.0
2024-04-09,14680.0
2024-04-10,13610.0
2024-04-11,13102.0
2024-04-12,12712.0
2024-04-13,11837.0
2024-04-14,14227.0
2024-04-15,13253.0
2024-04-16,14963.0
2024-04-17,13593.0
2024-04-18,13052.0
2024-04-19,12591.0
2024-04-20,12360.0
2024-04-21,14441.0
2024-04-22,12599.0
2024-04-23,16129.0
2024-04-24,12864.0
2024-04-25,14616.0
2024-04-26,13626.0
2024-04-27,12624.0
2024-04-28,11635.0
2024-04-29,13667.0
2024-04-30,12495.0
2024-05-01,11915.0
2024-05-02,13894.0
2024-05-03,13057.0
2024-05-04,14668.0
2024-05-05,13954.0
2024-05-06,15605.0
2024-05-07,12985.0
2024-05-08,13875.0
2024-05-09,10842.0
2024-05-10,13402.0
2024-05-11,12983.0
2024-05-12,13032.0
2024-05-13,13640.0
2024-05-14,13751.0
2024-05-15,10702.0
2024-05-16,13940.0
2024-05-17,14178.0
2024-05-18,14195.0
2024-05-19,13191.0
2024-05-20,13478.0
2024-05-21,14812.0
2024-05-22,11034.0
2024-05-23,13028.0
2024-05-24,12744.0
2024-05-25,12715.0
2024-05-26,10498.0
2024-05-27,14970.0
2024-05-28,13257.0
2024-05-29,13860.0
2024-05-30,13743.0
2024-05-31,14852.0
2024-06-01,10781.0
2024-06-02,12769.0
2024-06-03,14682.0
2024-06-04,13330.0
2024-06-05,12400.0
2024-06-06,12759.0
2024-06-07,12971.0
2024-06-08,11850.0
2024-06-09,12408.0
2024-06-10,14959.0
2024-06-11,12696.0
2024-06-12,12798.0
2024-06-13,13792.0
2024-06-14,13101.0
2024-06-15,11149.0
2024-06-16,12399.0
2024-06-17,13135.0
2024-06-18,14256.0
2024-06-19,12180.0
2024-06-20,14228.0
2024-06-21,13072.0
2024-06-22,11273.0
2024-06-23,11060.0
2024-06-24,15157.0
2024-06-25,12941.0
2024-06-26,14073.0
2024-06-27,11289.0
2024-06-28,15815.0
2024-06-29,13136.0
2024-06-30,11994.0
2024-07-01,12690.0
2024-07-02,13755.0
2024-07-03,13678.0
2024-07-04,13147.0
2024-07-05,12952.0
2024-07-06,12694.0
2024-07-07,10442.0
2024-07-08,12507.0
2024-07-09,11177.0
2024-07-10,13478.0
2024-07-11,12145.0
2024-07-12,11211.0
2024-07-13,11273.0
2024-07-14,12166.0
2024-07-15,12563.0
2024-07-16,11559.0
2024-07-17,11002.0
2024-07-18,12799.0
2024-07-19,12117.0
2024-07-20,11683.0
2024-07-21,11762.0
2024-07-22,13095.0
2024-07-23,13500.0
2024-07-24,12776.0
2024-07-25,12289.0
2024-07-26,12622.0
2024-07-27,11505.0
2024-07-28,10260.0
2024-07-29,13648.0
2024-07-30,13442.0
2024-07-31,14513.0
2024-08-01,14789.0
2024-08-02,11317.0
2024-08-03,11415.0
2024-08-04,14071.0
2024-08-05,12411.0
2024-08-06,12680.0
2024-08-07,10912.0
2024-08-08,12560.0
